travel sustainable,travel sustainable_2,star rating,quality rating,preferred badge,review score,overall review,reviews count,property name,location,price,distance from centre,room type recommendation
Travel Sustainable Level 3,N/A,4 out of 5,N/A,N/A,8.4,Very good,"1,338",Scarletz Suites KLCC by Mykey Global,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 194,1.2 km from centre,Deluxe Studio
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.2,Very good,32,"Datum Jelatek Sky Residence, Five Senses",Kuala Lumpur,MYR 210,3.5 km from centre,Presidential Suite
Travel Sustainable Level 3,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.4,Very good,592,Summer Suites KLCC Apartments,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 181,0.6 km from centre,Studio Apartment (Netflix + 100Mbps)
N/A,N/A,N/A,3 out of 5,N/A,10,Exceptional,4,Imbi Suite at Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 359,1.4 km from centre,One-Bedroom Suite
Travel Sustainable Level 3,N/A,N/A,N/A,This is a Preferred Partner property,7.1,Good,183,Regalia Suites with Infinity Pool KL - by Staycation Homes,"Chow Kit, Kuala Lumpur",MYR 170,2 km from centre,Standard Studio
Travel Sustainable Level 1,N/A,3 out of 5,N/A,N/A,8.0,Very good,413,UTM Hotel & Residence,Kuala Lumpur,MYR 170,2.5 km from centre,Studio
N/A,N/A,N/A,3 out of 5,N/A,7.1,Good,335,Sky Suites KLCC by Autumn Suites Premium Stay,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 165,300 m from centre,Queen Suite
N/A,N/A,2 out of 5,N/A,N/A,6.8,Review score,96,Suite Dreamz Hotel,Kuala Lumpur,MYR 99,9.6 km from centre,Deluxe Room
N/A,N/A,2 out of 5,N/A,N/A,3.3,Review score,4,OYO 90780 J Hotel Bukit Bintang,"Bukit Bintang, Kuala Lumpur",MYR 105,1.2 km from centre,Deluxe Queen Room
Travel Sustainable Level 1,N/A,N/A,4 out of 5,This is a Preferred Plus property,7.9,Good,"3,528",The Platinum Kuala Lumpur by LUMA,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 354,0.6 km from centre,Superior Apartment
Travel Sustainable Level 2,N/A,5 out of 5,N/A,N/A,10,Exceptional,3,Anggun Suites KLCC,"Chow Kit, Kuala Lumpur",MYR 237,1 km from centre,One-Bedroom Suite
N/A,N/A,N/A,4 out of 5,N/A,7.0,Good,2,Staycation Hots @ Sunway Velocity Mall,"Pudu, Kuala Lumpur",MYR 306,3.6 km from centre,Three-Bedroom Apartment
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.9,Good,377,Yemala Suites @ Vortex KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 862,100 m from centre,One-Bedroom Apartment
N/A,N/A,4 out of 5,N/A,N/A,9.4,Superb,10,Happy Stay Family Apartment At Times square,"Bukit Bintang, Kuala Lumpur",MYR 237,1.3 km from centre,Deluxe Queen Studio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#KL #KLCC View PWTC Homestay Chambers KL 192 R,Kuala Lumpur,MYR 227,2 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.1,Very good,"2,591",Sunway Pyramid Hotel,"Bandar Sunway, Kuala Lumpur",MYR 467,14.3 km from centre,Deluxe Double or Twin Room
N/A,N/A,N/A,4 out of 5,N/A,8.3,Very good,14,Revo Homestay Kuala Lumpur Bukit Jalil,Kuala Lumpur,MYR 450,11.9 km from centre,Queen Studio
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.0,Good,164,The Grand Campbell Hotel Kuala Lumpur,"Golden Triangle, Kuala Lumpur",MYR 108,1.3 km from centre,Superior Twin Room
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.3,Very good,101,Star Suite At Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 314,1.4 km from centre,Studio Apartment
Travel Sustainable Level 1,N/A,N/A,3 out of 5,This is a Preferred Partner property,7.6,Good,"1,812",The Robertson Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 218,1.1 km from centre,Premier One-Bedroom Suite
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Menara Bintang Goldhill,"Bukit Bintang, Kuala Lumpur",MYR 107,1.4 km from centre,Double Room
Travel Sustainable Level 1,N/A,2 out of 5,N/A,N/A,8.7,Fabulous,749,Hotel 1000 Miles,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 110,1.2 km from centre,Standard Twin Room (Bunk Bed) With Windows
N/A,N/A,N/A,3 out of 5,N/A,10,Exceptional,4,Imbi Suite at Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 359,1.4 km from centre,One-Bedroom Suite
N/A,N/A,N/A,4 out of 5,N/A,N/A,N/A,N/A,KL Pwtc WTC Sunway Putra Muji Home 170D Chamber KL,"Chow Kit, Kuala Lumpur",MYR 284,2 km from centre,Two-Bedroom Apartment
N/A,N/A,4 out of 5,N/A,N/A,7.4,Good,273,Hotel Grand Continental Kuala Lumpur,"Chow Kit, Kuala Lumpur",MYR 200,1.5 km from centre,Premium Double or Twin Room
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.2,Very good,"2,026",Novotel Kuala Lumpur City Centre,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 354,0.6 km from centre,Deluxe King Room
Travel Sustainable Level 2,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.4,Very good,"1,352",The Westin Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 490,1 km from centre,Deluxe King Room
N/A,N/A,N/A,N/A,N/A,7.2,Good,183,Hotel 99 Sri Petaling (Bukit Jalil),Kuala Lumpur,MYR 117,9.5 km from centre,Standard Queen Room
N/A,N/A,N/A,3 out of 5,This is a Preferred Partner property,7.2,Good,393,D'Majestic Place by Widebed,"Bukit Bintang, Kuala Lumpur",MYR 137,2 km from centre,Double Room
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.5,Good,798,Hotel Sunjoy9 @ Mid Valley,"Mid Valley, Kuala Lumpur",MYR 100,8.5 km from centre,Deluxe Queen Room
N/A,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.4,Very good,"1,007",The Platinum 2 Kuala Lumpur by LUMA,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 427,0.7 km from centre,Deluxe King Bed Room
Travel Sustainable Level 2,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.9,Fabulous,"3,173",Grand Hyatt Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 616,0.5 km from centre,Grand Twin Room
Travel Sustainable Level 2,N/A,N/A,4 out of 5,N/A,8.5,Very good,124,Mercu Summer Suites KLCC by SS Residence,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 189,0.6 km from centre,One-Bedroom Apartment
N/A,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.4,Very good,323,Alia Premier KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 147,0.5 km from centre,King Studio
Travel Sustainable Level 3,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.9,Fabulous,"2,064",Le Méridien Kuala Lumpur,"KL Sentral Train Station, Kuala Lumpur",MYR 530,3.1 km from centre,Superior Room
N/A,N/A,3 out of 5,N/A,N/A,6.0,Review score,351,Hotel 99 Kuala Lumpur City,"Bukit Bintang, Kuala Lumpur",MYR 110,1.1 km from centre,Superior Queen Room (Without Window)
N/A,N/A,5 out of 5,N/A,This is a Preferred Partner property,7.4,Good,"6,082",Dorsett Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 288,1.2 km from centre,Studio Queen Room @ Dorsett Residences
N/A,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.0,Very good,"1,219",KL Sentral Bangsar Suites (EST) by Luxury Suites Asia,"Brickfields, Kuala Lumpur",MYR 164,4.2 km from centre,Standard Studio
N/A,N/A,2 out of 5,N/A,This is a Preferred Partner property,6.7,Review score,266,OYO 431 Hotel De Grand Orchard,"Golden Triangle, Kuala Lumpur",MYR 130,1.2 km from centre,Standard Double Room
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.8,Fabulous,54,Pavilion Embassy Suites KL,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 410,1.9 km from centre,Deluxe Apartment
Travel Sustainable Level 1,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.3,Very good,703,Vortex Suites KLCC by Sayang,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 320,100 m from centre,Two-Bedroom Apartment
N/A,N/A,3 out of 5,N/A,N/A,7.7,Good,989,Riccarton Capsule Hotel,Kuala Lumpur,MYR 153,3 km from centre,Standard Double Room
Travel Sustainable Level 1,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.4,Very good,466,KL Platinum KLCC 42 By SNC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 266,0.6 km from centre,King Studio
N/A,N/A,N/A,4 out of 5,N/A,N/A,N/A,N/A,A Cozy High Floor Suasana KL Bkt Bintang,"Bukit Bintang, Kuala Lumpur",MYR 207,0.8 km from centre,Apartment
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.8,Good,"1,079",Travelodge Chinatown Kuala Lumpur,Kuala Lumpur,MYR 152,1.7 km from centre,Superior Double Room
N/A,N/A,2 out of 5,N/A,N/A,7.3,Good,422,1Orange Hotel Sri Petaling,Kuala Lumpur,MYR 118,9.5 km from centre,Standard Queen Room
N/A,N/A,N/A,4 out of 5,N/A,9.3,Superb,3,[PROMO]Connected train 1 Bedroom (ABOVE MALL)6,"Bangsar South, Kuala Lumpur",MYR 156,6.8 km from centre,One-Bedroom Apartment
Travel Sustainable Level 1,N/A,N/A,4 out of 5,N/A,10,Exceptional,2,Bintang Private Unite At Berjaya Times Square,"Bukit Bintang, Kuala Lumpur",MYR 162,1.4 km from centre,Deluxe Twin Room
Travel Sustainable Level 3,N/A,5 out of 5,N/A,N/A,8.4,Very good,7,Millerz Square by Mykey Global,"Mid Valley, Kuala Lumpur",MYR 134,8.1 km from centre,1 Bedroom Suites
Travel Sustainable Level 3,N/A,5 out of 5,N/A,N/A,8.2,Very good,8,Vortex suites near by KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 404,100 m from centre,Three-Bedroom Apartment
N/A,N/A,N/A,3 out of 5,This is a Preferred Partner property,7.2,Good,166,"Berjaya Times Square Service Apartment, Kuala Lumpur","Bukit Bintang, Kuala Lumpur",MYR 190,1.3 km from centre,One-Bedroom Apartment
N/A,N/A,5 out of 5,N/A,N/A,9.1,Superb,925,Banyan Tree Kuala Lumpur,"Bukit Bintang, Kuala Lumpur","MYR 1,140",0.8 km from centre,Banyan Retreat King
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.9,Good,962,Vivatel Kuala Lumpur,"Pudu, Kuala Lumpur",MYR 252,3.8 km from centre,Superior Double or Twin Room
N/A,N/A,N/A,4 out of 5,N/A,8.4,Very good,7,VIKAMO SUITES @ ROBERTSON RESIDENCE,"Bukit Bintang, Kuala Lumpur",MYR 182,1.2 km from centre,One-Bedroom Apartment
N/A,N/A,N/A,N/A,N/A,8.2,Very good,82,Expressionz Professional Suites by Autumn Suites Premium Stay,Kuala Lumpur,MYR 97,2.1 km from centre,Studio with Pool View
Travel Sustainable Level 2,N/A,N/A,3 out of 5,N/A,6.5,Review score,"2,308",Regalia Suites & Hotel,"Chow Kit, Kuala Lumpur",MYR 114,2 km from centre,Superior Twin Room (No Window)
Travel Sustainable Level 3,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.9,Fabulous,201,Flixses Suites at Platinum KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 360,0.7 km from centre,One-Bedroom Apartment
Travel Sustainable Level 3,N/A,N/A,4 out of 5,This is a Preferred Partner property,9.4,Superb,50,Scarletz KLCC Apartments by soulasia,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 254,1.2 km from centre,One-Bedroom Apartment
N/A,N/A,2 out of 5,N/A,This is a Preferred Partner property,6.9,Review score,180,M&M Hotel,"Brickfields, Kuala Lumpur",MYR 104,3.2 km from centre,Superior Double Room
N/A,N/A,N/A,N/A,N/A,6.9,Review score,174,Swiss Cottage Hotel,Kuala Lumpur,MYR 85,2.7 km from centre,Deluxe Queen Room
N/A,N/A,N/A,N/A,This is a Preferred Partner property,8.3,Very good,210,Dolphin The Eaton KLCC Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 327,1.4 km from centre,One-Bedroom Apartment
N/A,N/A,3 out of 5,N/A,N/A,6.7,Review score,542,Sun Inns Mont Kiara,"Sri Hartamas, Kuala Lumpur",MYR 144,6.2 km from centre,Triple Room
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.5,Very good,561,Fairfield by Marriott Kuala Lumpur Jalan Pahang,Kuala Lumpur,MYR 265,2 km from centre,Standard King Room with City View
Travel Sustainable Level 2,N/A,N/A,N/A,N/A,7.7,Good,623,Urban Living Residence,Kuala Lumpur,MYR 135,7.6 km from centre,Standard Queen Room
N/A,N/A,N/A,4 out of 5,N/A,N/A,N/A,N/A,CL 11B Modern Infinity Pool KLCC,"Chow Kit, Kuala Lumpur",MYR 128,1.1 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,2 out of 5,N/A,N/A,6.4,Review score,"1,001",Hotel AL Amin,"Golden Triangle, Kuala Lumpur",MYR 56,1.3 km from centre,Standard Double Room with Shared Bathroom
Travel Sustainable Level 1,N/A,4 out of 5,N/A,N/A,8.3,Very good,"1,469",Verdant Hill Hotel Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 218,0.5 km from centre,Superior Queen Room
N/A,N/A,2 out of 5,N/A,This is a Preferred Partner property,7.5,Good,59,OYO 317 Citytop Hotel,Kuala Lumpur,MYR 97,10.9 km from centre,Standard Double Room
Travel Sustainable Level 2,N/A,N/A,3 out of 5,This is a Preferred Partner property,7.3,Good,30,SS Platinum KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 315,0.6 km from centre,One-Bedroom Apartment
Travel Sustainable Level 1,N/A,N/A,4 out of 5,N/A,7.1,Good,8,Mercu Summer Suites Klcc Apartment,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 182,0.6 km from centre,Studio
Travel Sustainable Level 3,N/A,5 out of 5,N/A,N/A,9.8,Exceptional,8,STAR Residences KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur","MYR 1,099",0.9 km from centre,One-Bedroom Apartment
Travel Sustainable Level 1,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.7,Fabulous,"2,272","InterContinental Kuala Lumpur, an IHG Hotel","Kuala Lumpur City-Centre, Kuala Lumpur",MYR 468,1.3 km from centre,1 King Bed Classic
N/A,N/A,N/A,N/A,N/A,9.7,Exceptional,3,"Calm Sojourn, Skysuite KLCC","Kuala Lumpur City-Centre, Kuala Lumpur",MYR 490,300 m from centre,Two-Bedroom Suite
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.6,Good,425,Sky Suites KLCC by LUNA,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 398,350 m from centre,Deluxe Two-Bedroom Suite (High Floor)
Travel Sustainable Level 1,N/A,N/A,3 out of 5,This is a Preferred Plus property,7.9,Good,433,Platinum Service Suites KLCC by SA,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 545,0.6 km from centre,Deluxe Superior Suite
N/A,N/A,N/A,3 out of 5,This is a Preferred Partner property,7.8,Good,354,Platinum Service Suites KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 273,0.6 km from centre,Deluxe Superior Suite
N/A,N/A,N/A,N/A,This is a Preferred Partner property,5.8,Review score,168,TBS Rest & Go Transit Motel,Kuala Lumpur,MYR 91,8.5 km from centre,Double Room with Shared Bathroom
N/A,N/A,3 out of 5,N/A,N/A,6.7,Review score,472,Swiss Hotel Kuala Lumpur,"Golden Triangle, Kuala Lumpur",MYR 98,1.4 km from centre,Standard Queen Room
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,9.3,Superb,26,Opus Residences Kuala Lumpur by Luna,"Mid Valley, Kuala Lumpur",MYR 270,2.1 km from centre,One-Bedroom Suite with Merdeka Tower View
N/A,N/A,N/A,4 out of 5,N/A,N/A,N/A,N/A,"KL Sentral, Est Bangsar #10, LRT","Brickfields, Kuala Lumpur",MYR 136,4.2 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.3,Very good,82,188 suites klcc by Signature Apartment,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 272,0.6 km from centre,One-Bedroom Apartment
N/A,N/A,N/A,3 out of 5,N/A,7.2,Good,5,Meta @ Swiss Garden Residence KL Bukit Bintang,"Bukit Bintang, Kuala Lumpur",MYR 149,1.2 km from centre,One-Bedroom Apartment
N/A,N/A,5 out of 5,N/A,This is a Preferred Partner property,7.4,Good,"1,689",Pacific Regency Hotel Suites,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 233,300 m from centre,Premier Deluxe Twin Suite
N/A,N/A,2 out of 5,N/A,N/A,5.6,Review score,233,i-Hotel Kuala Lumpur,"Mid Valley, Kuala Lumpur",MYR 71,2 km from centre,Superior Double Room
Travel Sustainable Level 2,N/A,5 out of 5,N/A,This is a Preferred Partner property,7.9,Good,16,Eaton Service Suites KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 382,1.4 km from centre,Standard Suite
Travel Sustainable Level 3,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.7,Fabulous,"3,617",Hilton Kuala Lumpur,"KL Sentral Train Station, Kuala Lumpur",MYR 509,3.2 km from centre,Hilton Deluxe Twin Room
Travel Sustainable Level 1,N/A,5 out of 5,N/A,N/A,8.6,Fabulous,"7,247","Traders Hotel, Kuala Lumpur","Kuala Lumpur City-Centre, Kuala Lumpur",MYR 488,0.8 km from centre,Deluxe Room
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.8,Fabulous,48,The Platinum KLCC by Veedu Hauz,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 450,0.7 km from centre,Deluxe One Bedroom Apartment
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.6,Fabulous,169,8 Kia Peng Residences by Times 8,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 447,1 km from centre,Deluxe King Studio
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.0,Very good,52,"UNA Serviced Apartment, Sunway Velocity KL","Pudu, Kuala Lumpur",MYR 207,3.6 km from centre,Studio
N/A,N/A,N/A,4 out of 5,This is a Preferred Plus property,7.8,Good,12,Tropicana The Residences KLCC By Luxury Suites,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 422,0.5 km from centre,1 Bedroom Scenic suite with City View
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.2,Very good,152,ViiA Residences by Five Senses,"Mid Valley, Kuala Lumpur",MYR 304,4.8 km from centre,One-Bedroom Apartment
N/A,N/A,N/A,N/A,This is a Preferred Plus property,8.5,Very good,337,UNA Sunway Velocity Kuala Lumpur by Unimax,"Pudu, Kuala Lumpur",MYR 235,3.6 km from centre,Holiday Home
Travel Sustainable Level 1,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.9,Fabulous,55,Eko Cheras Residences by De Space,Kuala Lumpur,MYR 224,7.7 km from centre,Duplex Apartment
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.5,Very good,"1,072",AMI Suites at Arte Mont Kiara,Kuala Lumpur,MYR 378,4.9 km from centre,Snug Studio
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.5,Good,"1,795",Ceylonz Suite by Five Senses,"Bukit Bintang, Kuala Lumpur",MYR 302,0.9 km from centre,Executive Suite
Travel Sustainable Level 1,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.0,Very good,1,Quzoma Suites in KLCC Vortex,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 446,100 m from centre,One-Bedroom Apartment
Travel Sustainable Level 1,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.1,Very good,37,BBCC Apartments At Lucentia,"Pudu, Kuala Lumpur",MYR 272,1.7 km from centre,Queen Studio
N/A,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.2,Very good,86,La Platinum KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 544,0.7 km from centre,One-Bedroom Apartment
Travel Sustainable Level 1,N/A,N/A,3 out of 5,This is a Preferred Plus property,7.8,Good,357,Queens Service Suites at Platinum KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 261,0.6 km from centre,Deluxe Two-Bedroom Suite
N/A,N/A,N/A,3 out of 5,This is a Preferred Plus property,7.9,Good,196,KL Bintang Suites @ Times Square,"Bukit Bintang, Kuala Lumpur",MYR 244,1.3 km from centre,Premier Superior Suite
Travel Sustainable Level 1,N/A,3 out of 5,N/A,This is a Preferred Plus property,9.1,Superb,906,5 STAR & LUXURY Apartment near KLCC/ KL City Centre,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 320,100 m from centre,Three-Bedroom Apartment
Travel Sustainable Level 3,N/A,N/A,3 out of 5,This is a Preferred Plus property,7.8,Good,73,M City Ampang by ST Nomad,"Ampang, Kuala Lumpur",MYR 161,4.4 km from centre,Room with private bathroom in shared apartment
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.7,Good,154,Scarletz Suites by Five senses,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 233,1.1 km from centre,Deluxe Studio
Travel Sustainable Level 2,N/A,2 out of 5,N/A,This is a Preferred Plus property,8.3,Very good,"1,122",BIG M Hotel,"Golden Triangle, Kuala Lumpur",MYR 156,1.3 km from centre,Standard Queen (No Window)
Travel Sustainable Level 2,N/A,3 out of 5,N/A,This is a Preferred Partner property,8.3,Very good,882,MoMo's Kuala Lumpur,"Chow Kit, Kuala Lumpur",MYR 140,1.4 km from centre,Crashpad
Travel Sustainable Level 2,N/A,2 out of 5,N/A,This is a Preferred Partner property,7.1,Good,670,D'Garden Hotel Kuala Lumpur,"Ampang, Kuala Lumpur",MYR 109,3.8 km from centre,Superior Queen Room
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.3,Very good,794,The Chow Kit - an Ormond Hotel,"Chow Kit, Kuala Lumpur",MYR 276,1.4 km from centre,The Den
N/A,N/A,3 out of 5,N/A,N/A,N/A,N/A,N/A,Sleeping Lion Suites,"Bukit Bintang, Kuala Lumpur",MYR 202,1.2 km from centre,Small Double Room
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,8.1,Very good,600,J-Hotel by Dorsett,"Bukit Bintang, Kuala Lumpur",MYR 170,1.3 km from centre,Standard Double or Twin Room
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.2,Very good,361,Scarletz Mana-Mana Suites KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 221,1.1 km from centre,Coral Queen Studio
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.7,Good,276,V Garden Hotel,"Pudu, Kuala Lumpur",MYR 112,4.4 km from centre,Standard Double Room
N/A,N/A,3 out of 5,N/A,N/A,7.0,Good,248,Sun Inns Hotel Kepong near Hospital Sungai Buloh,Kuala Lumpur,MYR 81,10 km from centre,Standard Queen Room
N/A,N/A,3 out of 5,N/A,N/A,7.5,Good,523,Hotel Raja Bot,"Chow Kit, Kuala Lumpur",MYR 97,1.4 km from centre,Standard Double
N/A,N/A,N/A,4 out of 5,N/A,N/A,N/A,N/A,Vintage Design Cozy Home with TV BOX - KL,Kuala Lumpur,MYR 232,5.2 km from centre,Two-Bedroom Apartment
Travel Sustainable Level 2,N/A,5 out of 5,N/A,N/A,10,Exceptional,3,Star KLCC by Arman,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 785,0.9 km from centre,One-Bedroom Apartment
Travel Sustainable Level 1,N/A,5 out of 5,N/A,This is a Preferred Partner property,9.0,Superb,153,Pan Pacific Serviced Suites Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 493,1.2 km from centre,One Bedroom Suite
N/A,N/A,N/A,4 out of 5,N/A,8.0,Very good,1,ARTE Mont Kiara Comfort Space Netflix Wifi_Jacuzzi,Kuala Lumpur,MYR 140,5.3 km from centre,One-Bedroom Apartment
N/A,N/A,N/A,4 out of 5,N/A,8.0,Very good,1,ARTE Mont Kiara Comfort Space Netflix Wifi_Jacuzzi,Kuala Lumpur,MYR 140,5.3 km from centre,One-Bedroom Apartment
N/A,N/A,3 out of 5,N/A,N/A,7.9,Good,632,Izumi Hotel Bukit Bintang Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 130,0.8 km from centre,Standard Room (Windowless)
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1Bedroom Family Stay@Arte+,"Ampang, Kuala Lumpur",MYR 243,4.5 km from centre,One-Bedroom Apartment
N/A,N/A,N/A,4 out of 5,N/A,8.6,Fabulous,120,KL Gateway Residency,"Bangsar South, Kuala Lumpur",MYR 195,6.8 km from centre,One-Bedroom Apartment
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.7,Good,154,Scarletz Suites by Five senses,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 207,1.1 km from centre,Deluxe Studio
N/A,N/A,N/A,N/A,N/A,7.8,Good,45,Raissa Boutique Hotel,"Bukit Bintang, Kuala Lumpur",MYR 94,0.7 km from centre,Standard Double Room
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.3,Very good,886,Mercure Kuala Lumpur Shaw Parade,"Bukit Bintang, Kuala Lumpur",MYR 230,1.7 km from centre,Deluxe Double Room
N/A,N/A,N/A,N/A,N/A,10,Exceptional,4,Datum Jelatek in Kuala Lumpur - KLCC view - Walking to LRT - near by Gleneagles,Kuala Lumpur,MYR 322,3.5 km from centre,Suite with City View
N/A,N/A,N/A,4 out of 5,N/A,9.5,Exceptional,21,Ceylonz Suites KLCC by One39KL,"Bukit Bintang, Kuala Lumpur",MYR 240,0.9 km from centre,Deluxe Studio
Travel Sustainable Level 1,N/A,N/A,4 out of 5,N/A,6.5,Review score,2,King deluxe studio with bathtub at Scarletz Suites KLCC by LY,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 236,1.2 km from centre,Deluxe King Studio
Travel Sustainable Level 3,N/A,5 out of 5,N/A,This is a Preferred Plus property,8.8,Fabulous,413,Star Residence KLCC By FZB,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 292,1 km from centre,Deluxe King Studio
N/A,N/A,2 out of 5,N/A,This is a Preferred Partner property,7.2,Good,419,Mars Hotel,Kuala Lumpur,MYR 97,5.2 km from centre,Standard Queen Room
Travel Sustainable Level 3,N/A,3 out of 5,N/A,N/A,6.6,Review score,"1,388",Royce Hotel Kuala Lumpur Sentral,"Brickfields, Kuala Lumpur",MYR 73,2.8 km from centre,Superior King
Travel Sustainable Level 1,N/A,N/A,4 out of 5,N/A,9.1,Superb,265,Platinum 2 Service Suites KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 509,0.6 km from centre,One-Bedroom Suite
