travel sustainable,travel sustainable_2,star rating,quality rating,preferred badge,review score,overall review,reviews count,property name,location,price,distance from centre,room type recommendation
N/A,N/A,N/A,N/A,N/A,9.7,Exceptional,3,"Calm Sojourn, Skysuite KLCC","Kuala Lumpur City-Centre, Kuala Lumpur",MYR 490,300 m from centre,Two-Bedroom Suite
Travel Sustainable Level 2,N/A,5 out of 5,N/A,This is a Preferred Plus property,8.7,Fabulous,306,Amari Kuala Lumpur,"Mid Valley, Kuala Lumpur",MYR 289,5.6 km from centre,Superior Queen Room
Travel Sustainable Level 3,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.4,Very good,"1,498",M Resort & Hotel Kuala Lumpur,Kuala Lumpur,MYR 352,7.5 km from centre,Standard Block View King
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.6,Fabulous,906,Platinum KLCC By CityBox,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 266,0.7 km from centre,Deluxe Suite
N/A,N/A,N/A,N/A,This is a Preferred Partner property,8.3,Very good,598,Penthouse on 34 - The Highest Unit and Best Views in Regalia & Private Rooftop Terrace,"Chow Kit, Kuala Lumpur",MYR 100,2 km from centre,Budget Double Room
Travel Sustainable Level 1,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.1,Very good,37,BBCC Apartments At Lucentia,"Pudu, Kuala Lumpur",MYR 272,1.7 km from centre,Queen Studio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cozy appartaments,"Brickfields, Kuala Lumpur",MYR 170,2.7 km from centre,One-Bedroom Apartment
N/A,N/A,2 out of 5,N/A,This is a Preferred Partner property,8.0,Very good,320,B Lot Hotel,Kuala Lumpur,MYR 98,8.6 km from centre,Deluxe Queen No Window
N/A,N/A,1 out of 5,N/A,N/A,7.6,Good,536,Akar Hotel Jalan TAR,"Chow Kit, Kuala Lumpur",MYR 94,1.4 km from centre,Budget Double Room
Travel Sustainable Level 3,N/A,N/A,4 out of 5,This is a Preferred Plus property,7.9,Good,47,The Platinum KLCC By Sky Pool,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 518,0.7 km from centre,Two-Bedroom Apartment
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.7,Good,154,Scarletz Suites by Five senses,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 233,1.1 km from centre,Deluxe Studio
N/A,N/A,2 out of 5,N/A,This is a Preferred Partner property,7.3,Good,161,Cardogan Hotel,"Bukit Bintang, Kuala Lumpur",MYR 142,1 km from centre,Deluxe Double Room
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.8,Fabulous,"1,500","Four Points by Sheraton Kuala Lumpur, Chinatown",Kuala Lumpur,MYR 307,1.8 km from centre,Deluxe King Room
Travel Sustainable Level 2,N/A,N/A,N/A,N/A,7.6,Good,22,Xpeed Holiday Hotel,"Bukit Bintang, Kuala Lumpur",MYR 103,1.7 km from centre,Standard Double Room
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.5,Very good,31,Chambers Kuala Lumpur by Five Senses,"Chow Kit, Kuala Lumpur",MYR 157,2 km from centre,Signature Studio
N/A,N/A,N/A,4 out of 5,N/A,10,Exceptional,12,KLCC Suites at Platinum,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 359,0.7 km from centre,Superior King Suite
N/A,N/A,N/A,N/A,N/A,9.0,Superb,2,La Serene Suites at Suasana Bukit Ceylon,"Bukit Bintang, Kuala Lumpur",MYR 135,0.8 km from centre,Deluxe King Room
Travel Sustainable Level 3,N/A,5 out of 5,N/A,This is a Preferred Plus property,8.8,Fabulous,412,Star Residence KLCC By FZB,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 292,1 km from centre,Deluxe King Studio
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.6,Good,"1,272",Cosmo Hotel Kuala Lumpur,"Golden Triangle, Kuala Lumpur",MYR 151,1.5 km from centre,Cosmo Room King
Travel Sustainable Level 3,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.1,Very good,637,Star Suites KLCC by Like Home,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 314,1 km from centre,One-Bedroom Apartment
